Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
4083.81752038002	70	121.58268	21.55543	155.00858	-11.219016	151.0	0.0	0.8051833	0.8051833	0.8051836	0.8051836	-0.6931486	0.0016574562	0.0015416278	0.00036764506	0.69330275	30049	2133479
4140.159993886948	71	121.10397	34.18775	170.66656	-39.649525	151.0	0.0	0.802013	0.802013	0.8020137	0.8020137	-0.69315195	0.003043771	0.00013228424	7.938835e-05	0.69316506	30049	2163528
4196.591016054153	72	131.02911	20.64653	169.54617	43.394012	151.0	0.0	0.8677425	0.8677425	0.86774164	0.86774164	-0.6931524	0.003415396	0.0007662646	0.00030759012	0.6932292	30049	2193577
4253.195533275604	73	117.41883	23.348158	167.87103	20.121508	151.0	0.0	0.77760816	0.77760816	0.7776083	0.7776083	-0.69314736	0.00046905875	1.2903237e-05	7.3423275e-06	0.69314855	30049	2223626
4309.828849554062	74	116.51695	24.64361	176.81567	0.04291439	151.0	0.0	0.77163535	0.77163535	0.7716355	0.7716355	-0.6931483	0.0014705062	0.00012754544	6.217025e-05	0.693161	30049	2253675
4366.479014635086	75	136.50276	20.172234	173.20499	60.368973	151.0	0.0	0.9039918	0.9039918	0.9039918	0.9039918	-0.69336486	0.002693113	0.0012485482	0.0004892434	0.6934896	30049	2283724
4423.305780649185	76	137.9629	19.23237	178.66425	59.44432	151.0	0.0	0.9136617	0.9136617	0.9136617	0.9136617	-0.6931473	0.00026145624	3.5732828e-05	1.0645337e-05	0.69315076	30049	2313773
4479.994347572327	77	137.86209	21.147566	192.32523	52.174347	151.0	0.0	0.9129939	0.9129939	0.91299367	0.91299367	-0.6931515	0.0008554024	0.0017466522	0.0011238756	0.6933263	30049	2343822
4536.709603309631	78	128.65407	30.047417	180.8842	8.80088	151.0	0.0	0.8520136	0.8520136	0.8520135	0.8520135	-0.6931474	0.0008214401	3.9855484e-05	1.4246643e-05	0.6931515	30049	2373871
4593.954754114151	79	138.28291	20.787024	185.72723	62.0093	151.0	0.0	0.9157809	0.9157809	0.91578114	0.91578114	-0.69315714	0.0016015066	0.00016711083	7.237635e-05	0.6931737	30049	2403920
4650.977028846741	80	143.69868	23.393925	179.65662	1.1857171	151.0	0.0	0.9516469	0.9516469	0.9516461	0.9516461	-0.69314533	0.0011575711	0.0004794563	0.0001387555	0.69319314	30049	2433969
4708.496931314468	81	135.90057	21.422035	171.34055	11.343841	151.0	0.0	0.90000397	0.90000397	0.9000037	0.9000037	-0.69314986	0.0023613253	0.00018397183	5.1947765e-05	0.6931684	30049	2464018
4765.316147327423	82	148.43979	18.265581	200.4657	39.117157	151.0	0.0	0.98304486	0.98304486	0.98304486	0.98304486	-0.69315034	0.002478539	9.229554e-05	7.041037e-05	0.6931595	30049	2494067
