Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
8040000	20.5	20.79	4327	0.01	5e-05	0.6418691356976827
8050000	20.6	20.79	4334	0.01	5e-05	0.6421123067537944
8060000	20.61	20.79	4339	0.01	5e-05	0.6431891878445943
8070000	20.59	20.79	4345	0.01	5e-05	0.6379806955655416
8080000	20.54	20.79	4352	0.01	5e-05	0.6395307819048563
8090000	20.54	20.79	4357	0.01	5e-05	0.6418424566586812
8100000	20.56	20.79	4363	0.01	5e-05	0.6345032374064128
8110000	20.56	20.79	4369	0.01	5e-05	0.6381785074869791
8120000	20.58	20.79	4376	0.01	5e-05	0.6422508835792542
8130000	20.64	20.79	4382	0.01	5e-05	0.6366063594818115
8140000	20.59	20.79	4388	0.01	5e-05	0.6438134868939718
8150000	20.6	20.79	4394	0.01	5e-05	0.6385370850563049
8160000	20.61	20.79	4400	0.01	5e-05	0.641230841477712
8170000	20.61	20.79	4406	0.01	5e-05	0.6412196675936381
8180000	20.62	20.79	4412	0.01	5e-05	0.6411213954289754
8190000	20.64	20.79	4419	0.01	5e-05	0.6381130655606587
8200000	20.67	20.79	4425	0.01	5e-05	0.6401840408643087
8210000	20.65	20.79	4431	0.01	5e-05	0.6431389133135478
8220000	20.61	20.79	4437	0.01	5e-05	0.6416597366333008
8230000	20.61	20.79	4443	0.01	5e-05	0.6383864402770996
8240000	20.63	20.79	4449	0.01	5e-05	0.6404513557751973
8250000	20.63	20.79	4455	0.01	5e-05	0.64110400279363
8260000	20.63	20.79	4461	0.01	5e-05	0.640552838643392
8270000	20.59	20.79	4467	0.01	5e-05	0.6415848533312479
8280000	20.59	20.79	4473	0.01	5e-05	0.639313296477
8290000	20.56	20.79	4479	0.01	5e-05	0.6409032106399536
8300000	20.58	20.79	4485	0.01	5e-05	0.6414183696111043
8310000	20.6	20.79	4491	0.01	5e-05	0.6397807916005452
8320000	20.6	20.79	4497	0.01	5e-05	0.6415449341138204
8330000	20.59	20.79	4503	0.01	5e-05	0.638938323656718
8340000	20.59	20.79	4509	0.01	5e-05	0.6420374035835266
8350000	20.56	20.79	4515	0.01	5e-05	0.6402899106343587
8360000	20.55	20.79	4521	0.01	5e-05	0.6422620614369711
8370000	20.54	20.79	4527	0.01	5e-05	0.6422604203224183
8380000	20.52	20.79	4533	0.01	5e-05	0.6423598726590475
8390000	20.51	20.79	4540	0.01	5e-05	0.643422544002533
8400000	20.51	20.79	4545	0.01	5e-05	0.6437940080960591
8410000	20.53	20.79	4551	0.01	5e-05	0.6378262480099995
8420000	20.54	20.79	4557	0.01	5e-05	0.6444078207015991
8430000	20.54	20.79	4563	0.01	5e-05	0.6428557833035787
8440000	20.56	20.79	4570	0.01	5e-05	0.6411285678545634
8450000	20.59	20.79	4576	0.01	5e-05	0.6414711554845174
8460000	20.61	20.79	4582	0.01	5e-05	0.6417726715405782
8470000	20.57	20.79	4588	0.01	5e-05	0.6413676381111145
8480000	20.56	20.79	4594	0.01	5e-05	0.6409868121147155
8490000	20.55	20.79	4599	0.01	5e-05	0.6397972941398621
8500000	20.54	20.79	4605	0.01	5e-05	0.638836924235026
8510000	20.53	20.79	4611	0.01	5e-05	0.6416767001152038
8520000	20.48	20.79	4617	0.01	5e-05	0.6443701982498169
8530000	20.48	20.79	4623	0.01	5e-05	0.6435797214508057
8540000	20.51	20.79	4629	0.01	5e-05	0.6406827370325724
8550000	20.52	20.79	4635	0.01	5e-05	0.6423832933108012
8560000	20.54	20.79	4641	0.01	5e-05	0.6412132104237874
8570000	20.52	20.79	4647	0.01	5e-05	0.6412456353505452
8580000	20.45	20.79	4652	0.01	5e-05	0.6381811340649922
8590000	20.47	20.79	4659	0.01	5e-05	0.6408075173695882
8600000	20.46	20.79	4665	0.01	5e-05	0.6433094024658204
8610000	20.46	20.79	4670	0.01	5e-05	0.6416980822881063
8620000	20.39	20.79	4676	0.01	5e-05	0.6401250878969829
8630000	20.39	20.79	4683	0.01	5e-05	0.6415466666221619
8640000	20.44	20.79	4689	0.01	5e-05	0.6393043915430705
8650000	20.47	20.79	4695	0.01	5e-05	0.6430473963419596
8660000	20.5	20.79	4701	0.01	5e-05	0.639407467842102
8670000	20.49	20.79	4707	0.01	5e-05	0.6402738889058431
8680000	20.55	20.79	4713	0.01	5e-05	0.6398398200670878
8690000	20.55	20.79	4719	0.01	5e-05	0.6383184432983399
8700000	20.57	20.79	4725	0.01	5e-05	0.6422034859657287
8710000	20.55	20.79	4731	0.01	5e-05	0.6414554874102275
8720000	20.58	20.79	4738	0.01	5e-05	0.6422617276509602
8730000	20.57	20.79	4743	0.01	5e-05	0.6385537425676981
8740000	20.6	20.79	4750	0.01	5e-05	0.6406189044316609
8750000	20.6	20.79	4756	0.01	5e-05	0.641761835416158
8760000	20.62	20.79	4762	0.01	5e-05	0.6436344544092815
8770000	20.64	20.79	4769	0.01	5e-05	0.6428093949953715
8780000	20.7	20.79	4775	0.01	5e-05	0.6385297973950704
8790000	20.69	20.79	4781	0.01	5e-05	0.6416670441627502
8800000	20.69	20.79	4787	0.01	5e-05	0.6408119559288025
8810000	20.66	20.79	4793	0.01	5e-05	0.6394986947377522
8820000	20.66	20.79	4800	0.01	5e-05	0.6460577448209127
8830000	20.69	20.79	4806	0.01	5e-05	0.6427888949712117
8840000	20.7	20.79	4812	0.01	5e-05	0.6432056744893392
8850000	20.7	20.79	4818	0.01	5e-05	0.6406547705332438
8860000	20.72	20.79	4824	0.01	5e-05	0.6408629775047302
8870000	20.71	20.79	4830	0.01	5e-05	0.6426619251569112
8880000	20.69	20.79	4836	0.01	5e-05	0.6367720087369283
8890000	20.69	20.79	4843	0.01	5e-05	0.6466975728670756
8900000	20.69	20.79	4848	0.01	5e-05	0.6401381651560466
8910000	20.67	20.79	4854	0.01	5e-05	0.6411808609962464
8920000	20.64	20.79	4860	0.01	5e-05	0.6424833416938782
8930000	20.62	20.79	4866	0.01	5e-05	0.6406342188517252
8940000	20.59	20.79	4873	0.01	5e-05	0.6375199556350708
8950000	20.61	20.79	4879	0.01	5e-05	0.6431525985399882
8960000	20.61	20.79	4885	0.01	5e-05	0.6413845698038737
8970000	20.61	20.79	4891	0.01	5e-05	0.6387847344080607
8980000	20.59	20.79	4897	0.01	5e-05	0.6400226394335429
8990000	20.59	20.79	4903	0.01	5e-05	0.6382117708524068
9000000	20.57	20.79	4910	0.01	5e-05	0.6378818035125733
9010000	20.55	20.79	4916	0.01	5e-05	0.6387463450431824
9020000	20.5	20.79	4922	0.01	5e-05	0.642084805170695
9030000	20.52	20.79	4928	0.01	5e-05	0.6410523653030396
9040000	20.51	20.79	4934	0.01	5e-05	0.6389575878779093
9050000	20.53	20.79	4940	0.01	5e-05	0.6413696964581808
9060000	20.51	20.79	4946	0.01	5e-05	0.6402203241984049
9070000	20.49	20.79	4952	0.01	5e-05	0.6398568352063497
9080000	20.52	20.79	4958	0.01	5e-05	0.6393818736076355
9090000	20.55	20.79	4964	0.01	5e-05	0.6412943124771118
9100000	20.57	20.79	4970	0.01	5e-05	0.6434640725453694
9110000	20.55	20.79	4976	0.01	5e-05	0.6407597184181213
9120000	20.54	20.79	4982	0.01	5e-05	0.6388784368832906
9130000	20.54	20.79	4988	0.01	5e-05	0.6411871194839478
9140000	20.54	20.79	4994	0.01	5e-05	0.639263649781545
9150000	20.54	20.79	5000	0.01	5e-05	0.6628395080566406
9160000	20.51	20.79	5007	0.01	5e-05	0.6437310973803202
9170000	20.51	20.79	5013	0.01	5e-05	0.6421589334805806
9180000	20.51	20.79	5018	0.01	5e-05	0.6408350268999735
9190000	20.53	20.79	5024	0.01	5e-05	0.6413409590721131
9200000	20.52	20.79	5030	0.01	5e-05	0.6384034991264343
9210000	20.5	20.79	5036	0.01	5e-05	0.6426358183224996
9220000	20.49	20.79	5042	0.01	5e-05	0.6454833388328552
9230000	20.52	20.79	5049	0.01	5e-05	0.643044666449229
9240000	20.52	20.79	5055	0.01	5e-05	0.6399242520332337
9250000	20.53	20.79	5061	0.01	5e-05	0.6412708401679993
9260000	20.5	20.79	5067	0.01	5e-05	0.6412614345550537
9270000	20.51	20.79	5073	0.01	5e-05	0.6383725881576539
9280000	20.53	20.79	5079	0.01	5e-05	0.6376205126444499
9290000	20.53	20.79	5086	0.01	5e-05	0.6388203263282776
9300000	20.55	20.79	5092	0.01	5e-05	0.6359762986501057
9310000	20.56	20.79	5098	0.01	5e-05	0.6373476306597392
9320000	20.56	20.79	5104	0.01	5e-05	0.6394173820813497
9330000	20.57	20.79	5110	0.01	5e-05	0.642714782555898
9340000	20.57	20.79	5116	0.01	5e-05	0.6398909131685893
9350000	20.62	20.79	5123	0.01	5e-05	0.6397626320521037
9360000	20.61	20.79	5129	0.01	5e-05	0.6406650503476461
9370000	20.66	20.79	5135	0.01	5e-05	0.6402156790097554
9380000	20.66	20.79	5141	0.01	5e-05	0.641229796409607
9390000	20.67	20.79	5148	0.01	5e-05	0.6410472512245178
9400000	20.71	20.79	5154	0.01	5e-05	0.641838530699412
9410000	20.7	20.79	5160	0.01	5e-05	0.6413949171702067
9420000	20.69	20.79	5166	0.01	5e-05	0.6408046960830689
9430000	20.69	20.79	5172	0.01	5e-05	0.6420229792594909
9440000	20.69	20.79	5178	0.01	5e-05	0.639966893196106
9450000	20.7	20.79	5184	0.01	5e-05	0.6412709554036459
9460000	20.69	20.79	5191	0.01	5e-05	0.6409649610519409
9470000	20.67	20.79	5197	0.01	5e-05	0.6440129995346069
9480000	20.7	20.79	5203	0.01	5e-05	0.6412525733311971
9490000	20.69	20.79	5209	0.01	5e-05	0.6397202968597412
9500000	20.7	20.79	5215	0.01	5e-05	0.640221091111501
9510000	20.69	20.79	5221	0.01	5e-05	0.6390207171440124
9520000	20.7	20.79	5227	0.01	5e-05	0.6435963630676269
9530000	20.7	20.79	5233	0.01	5e-05	0.6420022209485372
9540000	20.73	20.79	5239	0.01	5e-05	0.6408665577570597
9550000	20.72	20.79	5246	0.01	5e-05	0.6432366808255513
9560000	20.72	20.79	5252	0.01	5e-05	0.6418071111043294
9570000	20.68	20.79	5258	0.01	5e-05	0.6432867685953776
9580000	20.72	20.79	5264	0.01	5e-05	0.6393286983172098
9590000	20.71	20.79	5270	0.01	5e-05	0.6444650093714396
9600000	20.65	20.79	5276	0.01	5e-05	0.6408172051111857
9610000	20.66	20.79	5282	0.01	5e-05	0.6418157696723938
9620000	20.64	20.79	5288	0.01	5e-05	0.6433886806170146
9630000	20.63	20.79	5294	0.01	5e-05	0.640885857741038
9640000	20.62	20.79	5300	0.01	5e-05	0.6397812326749166
9650000	20.62	20.79	5307	0.01	5e-05	0.640682852268219
9660000	20.64	20.79	5313	0.01	5e-05	0.6411511301994324
9670000	20.64	20.79	5319	0.01	5e-05	0.6440844297409057
9680000	20.65	20.79	5325	0.01	5e-05	0.6391548752784729
9690000	20.61	20.79	5331	0.01	5e-05	0.6397015492121378
9700000	20.57	20.79	5337	0.01	5e-05	0.6402096033096314
9710000	20.57	20.79	5343	0.01	5e-05	0.6440150141716003
9720000	20.56	20.79	5349	0.01	5e-05	0.6386352340380351
9730000	20.59	20.79	5355	0.01	5e-05	0.6413081208864848
9740000	20.59	20.79	5361	0.01	5e-05	0.6423245867093405
9750000	20.58	20.79	5367	0.01	5e-05	0.6428749839464823
9760000	20.61	20.79	5374	0.01	5e-05	0.6397974173227946
9770000	20.64	20.79	5380	0.01	5e-05	0.6417019128799438
9780000	20.67	20.79	5386	0.01	5e-05	0.6402586301167806
9790000	20.67	20.79	5392	0.01	5e-05	0.6394888838132222
9800000	20.71	20.79	5398	0.01	5e-05	0.6387062708536784
9810000	20.71	20.79	5404	0.01	5e-05	0.6436542908350626
9820000	20.7	20.79	5410	0.01	5e-05	0.6414683779080709
9830000	20.73	20.79	5417	0.01	5e-05	0.6412500262260437
9840000	20.71	20.79	5423	0.01	5e-05	0.6428954362869262
9850000	20.72	20.79	5429	0.01	5e-05	0.6392917990684509
9860000	20.73	20.79	5435	0.01	5e-05	0.6423852642377218
9870000	20.72	20.79	5441	0.01	5e-05	0.6446269114812215
9880000	20.73	20.79	5447	0.01	5e-05	0.6403132359186808
9890000	20.72	20.79	5453	0.01	5e-05	0.6390960375467937
9900000	20.7	20.79	5460	0.01	5e-05	0.6392844835917155
9910000	20.72	20.79	5466	0.01	5e-05	0.6415641983350118
9920000	20.7	20.79	5472	0.01	5e-05	0.6434677243232727
9930000	20.69	20.79	5478	0.01	5e-05	0.6420358101526896
9940000	20.66	20.79	5484	0.01	5e-05	0.6427987416585287
9950000	20.65	20.79	5490	0.01	5e-05	0.6436033686002095
9960000	20.64	20.79	5496	0.01	5e-05	0.6401045640309652
9970000	20.54	20.79	5502	0.01	5e-05	0.6429590980211893
9980000	20.56	20.79	5508	0.01	5e-05	0.6414647142092387
9990000	20.54	20.79	5514	0.01	5e-05	0.6414520621299744
10000000	20.53	20.79	5521	0.01	5e-05	0.6417100548744201
10010000	20.54	20.79	5527	0.01	5e-05	0.6426446477572123
10020000	20.55	20.79	5533	0.01	5e-05	0.6411579926808675
10030000	20.54	20.79	5539	0.01	5e-05	0.640676720937093
10040000	20.54	20.79	5545	0.01	5e-05	0.6405447085698446
10050000	20.53	20.79	5551	0.01	5e-05	0.6425164421399434
10060000	20.53	20.79	5557	0.01	5e-05	0.6398213426272075
10070000	20.52	20.79	5564	0.01	5e-05	0.64345782995224
10080000	20.51	20.79	5570	0.01	5e-05	0.6428595980008444
10090000	20.48	20.79	5576	0.01	5e-05	0.6411297798156739
10100000	20.48	20.79	5582	0.01	5e-05	0.6408111333847046
10110000	20.51	20.79	5588	0.01	5e-05	0.6439128955205281
10120000	20.54	20.79	5594	0.01	5e-05	0.6427852988243103
10130000	20.59	20.79	5600	0.01	5e-05	0.6430421272913615
10140000	20.58	20.79	5606	0.01	5e-05	0.6417721033096313
10150000	20.57	20.79	5612	0.01	5e-05	0.6397030512491862
10160000	20.57	20.79	5618	0.01	5e-05	0.6413201967875163
10170000	20.58	20.79	5624	0.01	5e-05	0.6390769362449646
10180000	20.57	20.79	5631	0.01	5e-05	0.6440397103627523
10190000	20.6	20.79	5636	0.01	5e-05	0.6400619705518087
10200000	20.59	20.79	5643	0.01	5e-05	0.6379795392354329
